sample_id,subject_id,subject_index,finger_id,acquisition_id,finger_class_id,raw_image_path,raw_view_index,sire_path,raw_view_paths,variant_paths,is_extra_acquisition
s01_f01_a01_v00,1,0,1,1,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_0.jpg,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_R414.bmp""}",False
s01_f01_a01_v01,1,0,1,1,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_1.jpg,1,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_R414.bmp""}",False
s01_f01_a01_v02,1,0,1,1,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_2.jpg,2,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_R414.bmp""}",False
s01_f01_a01_v03,1,0,1,1,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_3.jpg,3,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_R414.bmp""}",False
s01_f01_a01_v04,1,0,1,1,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_4.jpg,4,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_R414.bmp""}",False
s01_f01_a01_v05,1,0,1,1,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_5.jpg,5,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_1_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_1_R414.bmp""}",False
s01_f01_a02_v00,1,0,1,2,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_0.jpg,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_R414.bmp""}",False
s01_f01_a02_v01,1,0,1,2,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_1.jpg,1,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_R414.bmp""}",False
s01_f01_a02_v02,1,0,1,2,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_2.jpg,2,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_R414.bmp""}",False
s01_f01_a02_v03,1,0,1,2,0,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_3.jpg,3,/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2.bmp,"[""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_0.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_1.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_2.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_3.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_4.jpg"", ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/raw/1_1_2_5.jpg""]","{""HT1"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT1.bmp"", ""HT2"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT2.bmp"", ""HT4"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT4.bmp"", ""HT6"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_HT6.bmp"", ""R414"": ""/home/milab-5/sahib/contactless-biometric/archive/DS1/1/SIRE-1_1_2_R414.bmp""}",False
